datetime,temp,humidity,precip,windspeed,winddir,visibility,solarradiation,cloudcover,Date,Site ID,POC,Daily Mean PM2.5 Concentration,DAILY_AQI_VALUE,pm25-1,
1/6/2014,6.3,68.8,4.369,38.5,262,13.7,39.1,83.2,1/6/2014,421010048,3,3.5,15,25.3,
1/8/2014,-7.9,42.6,0,19.2,258.8,16,121,41.4,1/8/2014,421010048,5,10.8,45,3.5,
1/11/2014,11.1,90.4,10.302,25.6,196.4,9.4,52.5,98.7,1/11/2014,421010048,5,9.6,40,10.8,
1/14/2014,8.5,81.1,2.54,20.1,230.1,12.7,16.9,82.9,1/14/2014,421010048,5,9.2,38,9.6,
1/15/2014,5.2,87.3,0,20.1,289.4,5.6,58.4,90,1/15/2014,421010048,3,12.1,51,9.2,
1/16/2014,2.1,65.5,0.015,17.8,303.7,15.2,72.3,71.1,1/16/2014,421010048,3,13.2,53,12.1,
1/17/2014,1.5,67.5,0,12.2,168.1,15.4,117.6,41.4,1/17/2014,421010048,3,21.1,70,13.2,
1/17/2014,1.5,67.5,0,12.2,168.1,15.4,117.6,41.4,1/17/2014,421010048,5,17.5,62,21.1,
1/18/2014,0.5,61.4,0.051,30.3,297,15.5,117.5,56.7,1/18/2014,421010048,3,14.8,57,17.5,
1/19/2014,-0.6,52.7,0,27,241.1,16,127.9,55.3,1/19/2014,421010048,3,17.5,62,14.8,
1/20/2014,5,53.7,0,30.9,259.4,16,96.5,63.3,1/20/2014,421010048,3,10.4,43,17.5,
1/20/2014,5,53.7,0,30.9,259.4,16,96.5,63.3,1/20/2014,421010048,5,9,38,10.4,
1/21/2014,-4.3,68.9,3.582,28.5,26.6,7.5,39.3,89,1/21/2014,421010048,3,9.7,40,9,
1/22/2014,-11.6,49,0.102,29.6,328.4,15.6,143,32.8,1/22/2014,421010048,3,11,46,9.7,
1/23/2014,-9.2,51.6,0,32.7,275.6,15.9,109.1,44.1,1/23/2014,421010048,3,23.5,75,11,
1/24/2014,-9.5,48.5,0,20.8,262.1,16,132.5,13.6,1/24/2014,421010048,3,23.8,76,23.5,
1/25/2014,-5.3,61.3,1.553,28.3,208.2,13.1,38.1,68.9,1/25/2014,421010048,3,16.9,61,23.8,
1/26/2014,-4.7,53,0.273,27.9,262.7,15.6,93.2,61.1,1/26/2014,421010048,3,13.2,53,16.9,
1/26/2014,-4.7,53,0.273,27.9,262.7,15.6,93.2,61.1,1/26/2014,421010048,5,7.3,30,13.2,
1/27/2014,0.2,51.9,0,36.3,287.7,16,80,71.6,1/27/2014,421010048,3,19.1,66,7.3,
1/28/2014,-8.9,36.1,0,25.4,314.6,15.9,89.3,74.7,1/28/2014,421010048,3,18.5,64,19.1,
1/29/2014,-9,48.4,0.862,24.7,287.8,13.2,142.4,50.7,1/29/2014,421010048,3,23.6,75,18.5,
1/29/2014,-9,48.4,0.862,24.7,287.8,13.2,142.4,50.7,1/29/2014,421010048,5,13.1,53,23.6,
1/30/2014,-7.1,46.8,0,10.9,240.2,16,156.5,13.9,1/30/2014,421010048,3,28.4,85,13.1,
1/31/2014,-0.4,56.7,0,11.9,240.9,16,115.9,65.6,1/31/2014,421010048,3,33,95,28.4,
2/1/2014,3.3,59.5,0,12.7,139.4,15.3,111.4,54.4,2/1/2014,421010048,3,34.5,98,33,
2/1/2014,3.3,59.5,0,12.7,139.4,15.3,111.4,54.4,2/1/2014,421010048,5,23.9,76,34.5,
2/2/2014,5.2,69.1,0,11.5,297.6,13.2,118.6,72.4,2/2/2014,421010048,3,43.3,120,23.9,
2/3/2014,2,83.1,25.178,22.3,17.6,9.2,52.5,98.6,2/3/2014,421010048,3,14.1,55,43.3,
2/4/2014,-1.7,71.4,1.051,13.6,24,15.6,113,78.6,2/4/2014,421010048,3,23.6,75,14.1,
2/4/2014,-1.7,71.4,1.051,13.6,24,15.6,113,78.6,2/4/2014,421010048,5,15.3,58,23.6,
2/6/2014,-2.5,58,0,33.3,326.6,16,128,59.4,2/6/2014,421010048,3,14.1,55,15.3,
2/7/2014,-1.3,56.7,0,20,269.3,15.4,151.3,33.7,2/7/2014,421010048,3,32.4,94,14.1,
2/7/2014,-1.3,56.7,0,20,269.3,15.4,151.3,33.7,2/7/2014,421010048,5,23.3,75,32.4,
2/8/2014,-3,51.8,0,9.9,293.4,15.6,65.9,67.7,2/8/2014,421010048,3,22.2,72,23.3,
2/9/2014,-3.1,63.2,3.627,13.4,293,12.6,75.5,83.5,2/9/2014,421010048,3,24.1,76,22.2,
2/10/2014,-3.6,54.9,0,24.9,306.1,14.4,143.3,51.3,2/10/2014,421010048,3,28.1,85,24.1,
2/10/2014,-3.6,54.9,0,24.9,306.1,14.4,143.3,51.3,2/10/2014,421010048,5,21.4,71,28.1,
2/11/2014,-6.1,49,0,24.5,325.5,15.4,171.5,12.1,2/11/2014,421010048,3,27,82,21.4,
2/12/2014,-6.5,56.5,0.517,20.4,41.7,15,132.6,50.8,2/12/2014,421010048,3,15.9,59,27,
2/13/2014,0.1,85.5,29.988,41.1,33.1,3.9,34.1,100,2/13/2014,421010048,3,6.6,28,15.9,
2/13/2014,0.1,85.5,29.988,41.1,33.1,3.9,34.1,100,2/13/2014,421010048,5,4.6,19,6.6,
